PP,SIFTR,Polyphen2R,Polyphen2P,PROVEANR,PROVEANP,CADDS,CADDR,CADDP,fathmmS,fathmmR,fathmmP,phyloP,phyloPR,Class,Tissue_Type,TP53_Mutation,KRAS_Mutation,BRCA1_Mutation,POLB_Expression,Cancer_Type
6,0.7618538272657904,0.8593042895641057,1,0.6454117059085711,0,3.5374356580741706,0.6200217480062281,24.951600251842407,0.7972818825562201,0.278559081710124,1,3.4054077854774225,0.435410171529484,1,Breast,0,1,1,0.6762936169038117,Breast
2,0.4290849900805559,0.8824588606726613,2,0.7552331512175294,0,3.020610246892682,0.7055843370514642,22.348939549451487,0.477964448534661,0.367978745531215,0,3.0205099577354004,0.3978888095626981,0,Breast,0,0,0,0.6734702617638529,Breast
6,0.6611386690035123,0.4008136229832668,1,0.33700772391670586,0,3.817230754511268,0.572126937180487,24.458806643017077,0.4550477328037812,0.3009093396321023,1,1.9630975299378115,0.17393628620523768,0,Prostate,0,1,0,1.0572412228811925,Prostate
4,0.6469320327764139,0.7081178178557318,1,0.5119338499698596,1,3.006048598226422,0.8641338818354052,22.747055839895193,0.6198431898865134,0.20049194591832115,0,4.2726807935219755,0.42489176804114526,1,Prostate,1,0,1,0.9963422537964767,Prostate
2,0.5210189758418919,0.5956130437216929,1,0.4093416831108807,0,4.076012293622004,0.8464901864142953,28.508314145264656,0.5451420486823487,0.338792746736727,1,4.370284399982813,0.3729133385713499,0,Prostate,0,1,0,0.5256180965729507,Prostate
4,0.670617472412488,0.46762589551378336,1,0.5305186730588733,1,3.34996383395159,0.7807224328440567,20.20878224157827,0.49304747917246206,0.32254529430661427,0,0.5109042833063508,0.13225007602632974,0,Lung,0,0,1,0.611263671413069,Lung
6,0.8089571053508969,0.559275684859981,2,0.360836164422888,0,2.5347423481532525,0.6877390092685687,27.68473336170004,0.5597057950234106,0.3895618831429752,1,0.845387705997058,0.38230029416597466,1,Prostate,0,1,0,0.9087389722084678,Prostate
6,0.8926266672635714,0.454337459206232,-1,0.34226832549353314,0,3.010502992349956,0.7721082826788912,29.910798138398544,0.70461317636061,0.20421396419513693,0,1.546937030220791,0.31710164674624075,0,Lung,1,1,1,0.7847127908167728,Lung
4,0.5812288501510873,0.5689833087935715,2,0.5765211115490964,1,3.5211548982475547,0.5444564722485566,20.848128988323104,0.7287594530373177,0.39055851412359344,0,1.0948584837025086,0.1544462300209776,1,Lung,1,1,1,1.3402193430198084,Lung
2,0.7648533568073308,0.6487680455941937,2,0.7761940743075368,1,4.406584381129816,0.7172510011440665,24.574766032315004,0.41327461034692287,0.31445233689329377,1,2.0002296442043024,0.3089427321367868,1,Lung,1,1,1,1.0440581468729462,Lung
4,0.8265423890580674,0.4052575974565813,2,0.6234040066647204,0,4.15166160875493,0.8870249382958101,29.992996116154444,0.6853369073141369,0.2434870649756622,1,2.148592875947066,0.25475759562078193,0,Colon,0,1,0,0.7748421475361338,Colorectal
6,0.5626009815275357,0.7885923368012633,-1,0.7620816380354576,0,4.353763292963066,0.7703682665094098,25.557636855731882,0.5348189737591752,0.22106646332326207,0,2.4022791508488734,0.4430877574195038,0,Breast,0,0,0,0.8876172163514233,Breast
4,0.8580788014802572,0.5381893954032517,-1,0.3899702309930022,1,2.5576927899638955,0.4249933408751047,24.42885840038229,0.6768611957197792,0.3000723929466792,0,2.9812759872793935,0.4796401342163955,0,Prostate,0,0,0,0.9467295438996448,Prostate
2,0.548583900895006,0.47946799532770934,1,0.3809446540793491,1,2.9043478202293698,0.880629038714797,26.013414244564533,0.6313475338051052,0.2382667834067991,1,1.6074588483556531,0.15458591423933246,1,Prostate,1,0,1,0.5855341870555161,Prostate
2,0.8399736745115218,0.5845074164996988,2,0.44606120829727247,0,4.303234614873099,0.41331451092238575,23.60228559911562,0.5653383513169179,0.3606927590500784,0,1.9007461458058545,0.47819546659036605,0,Colon,1,1,1,0.6862998733625033,Colorectal
2,0.7243965875009344,0.5602720333092102,1,0.5103934480008194,0,3.1775925258073254,0.6200220315741453,26.670964015272993,0.5607395382806728,0.24762567502772137,0,2.5471844413026257,0.5915507902492381,0,Lung,1,1,0,1.292483680462192,Lung
4,0.5821829049163634,0.48505822996066056,-1,0.5886682768797669,0,3.4855197294935216,0.7785528744729061,26.024814733338264,0.5991427147910702,0.39468351792604217,0,3.3597112617973006,0.37808313090141854,1,Colon,1,1,1,1.3656049506788344,Colorectal
2,0.5719061686705965,0.631335181371081,1,0.44813862168412666,1,4.219099031596837,0.8473970706749079,26.39511453336746,0.5308360786885731,0.3705743166711991,0,3.6250874477909303,0.5658101386374614,0,Lung,1,1,0,0.6342130512307144,Lung
4,0.7959385589044865,0.7931838980208283,-1,0.7599712025150669,0,2.8274949732389554,0.4013328124871338,29.78888499608169,0.7502085153415883,0.3687578641102831,0,1.0785829272000655,0.39286057483525794,1,Breast,1,1,1,1.0440459492296923,Breast
2,0.6657527706687901,0.5238972192473768,2,0.5031161407034757,1,3.978659741921855,0.7453801258858745,21.39538890828782,0.7653049228514127,0.26549875258036,1,3.4498711974786014,0.4610328692972592,1,Lung,0,0,0,1.093154558260304,Lung
2,0.4016959067548459,0.816381618258291,1,0.7848823705607024,0,4.2093172852795036,0.7469002052462141,23.12067074943665,0.5910823849783557,0.316823054782185,0,3.933751777499807,0.4353799409105259,1,Prostate,0,0,1,1.492318931022683,Prostate
4,0.7679479930390232,0.5219234521463205,2,0.464135434354465,1,3.9212331295200475,0.6126008503056658,21.009922200123423,0.6883645379362333,0.2325271468133898,1,3.3144830159011778,0.4338574219902749,1,Colon,1,0,0,1.0801276995987337,Colorectal
4,0.7923504415239985,0.7424796006240199,-1,0.40832242366685145,1,4.086118968516702,0.6433112941645796,22.492095440556536,0.70094763035085,0.27629740507964085,1,3.7116302265478844,0.5198616051244044,0,Breast,1,0,0,0.7483959322831303,Breast
2,0.6685842171456123,0.5109724452726854,-1,0.7034019610527578,0,2.5338640977861515,0.8086038016489977,29.299334272601698,0.682231139564349,0.35033628835676006,0,3.499969870011011,0.2579869338952393,0,Lung,0,1,1,1.4602666331727063,Lung
6,0.8122201555046141,0.45668779023822176,-1,0.6944713845478994,0,3.3140068036209556,0.7492361578984272,24.06913417757108,0.5014790014302339,0.23223584830105687,0,3.1910380327974868,0.18881008913205874,1,Colon,0,0,1,1.4333019770882125,Colorectal
6,0.5652166895624127,0.48124439362106114,2,0.5325197113757317,1,2.6910920199397315,0.4748040659152114,26.226047063461618,0.5455342248746679,0.37798412961913075,0,0.9467495920957152,0.398629459764661,0,Prostate,1,0,1,1.062071824008571,Prostate
4,0.7445858879286589,0.6157082399769567,2,0.5623968441853555,1,4.379820980631813,0.609692337234117,26.05567547498487,0.4355559250049604,0.38629013845895155,0,3.3587086005225664,0.2708350319656264,0,Breast,0,0,0,1.08017837726601,Breast
6,0.575155462636723,0.657850030005834,-1,0.4532270398120911,0,3.533734483158721,0.6250906393184599,23.307136931791007,0.496487643506617,0.2663336969794762,1,1.3109099073723183,0.34557253127111187,1,Prostate,1,0,0,0.5324274239602785,Prostate
2,0.6346248833274437,0.8743145209662626,1,0.6154192543078845,0,2.626070674074179,0.48765617542381695,29.832348674708193,0.4129845334442285,0.36720465061945445,0,4.499235855025654,0.36451389772915,0,Colon,1,0,1,0.8741406821433692,Colorectal
6,0.7074052263257943,0.6527047579540963,2,0.30820891752293744,0,3.2176306086332547,0.5478655034220228,26.56189234009681,0.5612944607002389,0.3905222035445034,0,4.398343672974374,0.4423720487201649,1,Breast,1,0,1,0.6098622705408819,Breast
6,0.6024860196159718,0.7104775151888174,1,0.7131029647409917,1,3.89943122697284,0.5774223756582372,24.138983343356834,0.4765469546901032,0.2605741491761266,0,0.21296893937483732,0.3156785444973407,0,Lung,1,1,0,1.0018429626922427,Lung
6,0.5671376583602257,0.5306638881892178,-1,0.7870757044116461,0,2.6967279565759297,0.4776111317899225,26.382628429988998,0.4113881567758275,0.3455500603406815,0,2.483645348348888,0.5663184741062258,1,Lung,0,0,1,1.4237785247297914,Lung
4,0.5492904494753578,0.6351391163992046,2,0.5588812343964215,0,4.16698285024208,0.4427672537389713,25.6129944529086,0.5828712862520979,0.32942095071498734,0,1.7645425242378332,0.40687447128490895,0,Colon,0,1,1,1.4816584999242322,Colorectal
6,0.785287218631499,0.7599890244732261,1,0.4145668888767058,1,2.970729885491957,0.7179498794895702,21.449415124218596,0.7787566219596721,0.2862317506419681,1,3.1696483555258173,0.49653710887218294,1,Breast,0,0,0,0.6921935273107994,Breast
2,0.4060928984820188,0.8733643082190689,-1,0.3494172772196412,1,3.1031643959732436,0.4180767586793586,27.47913387896849,0.4047927825565698,0.29473474231772795,1,2.176944474891964,0.2933096007296958,1,Colon,1,0,0,1.149558920960033,Colorectal
4,0.46552547474288325,0.5051515552941047,1,0.3602708435681078,0,2.5495014820163826,0.8483962175338258,26.029310607623916,0.5602095822850572,0.3104411196630004,1,0.9240757168547138,0.364413756651884,0,Prostate,0,1,0,0.745305307867016,Prostate
4,0.6826268013740935,0.8819299850394602,2,0.699419471726461,0,2.5775240700718616,0.5454855871743132,22.394454276386334,0.48804022368398714,0.3508615293271308,0,2.6526645838768976,0.25957570134797914,0,Colon,0,0,1,1.159322978305069,Colorectal
4,0.8326788234886331,0.5654330474463658,2,0.4560260092702795,0,3.762882657118662,0.6247812431740922,28.89610800105028,0.6903318134410207,0.2043208953171527,0,2.7654522973745386,0.16818205769365527,1,Lung,0,1,0,1.2040429143678482,Lung
4,0.49157821388884565,0.6892386679343399,1,0.5364051019788296,0,3.6601233147409706,0.5834797483107403,28.20746566460642,0.6047034119326067,0.37056856949154915,0,4.2753163604226785,0.1937154266692502,1,Breast,1,1,0,1.103608361971669,Breast
2,0.7845196650996895,0.48138702067667793,-1,0.4641868199753547,0,4.229062177483858,0.5036898507048289,26.620103938044803,0.5243457629907234,0.2393620126235867,1,0.5844689408582182,0.5027195778056067,1,Breast,0,1,0,0.5838609480276955,Breast
6,0.8689091267819483,0.6654464276558967,-1,0.5732656704725206,1,3.32950649654234,0.8280193769477098,29.798442235139802,0.4133109447087322,0.32879227935552957,0,0.23554497343654732,0.37528877448945963,1,Breast,0,1,0,0.7261545667508105,Breast
2,0.5016349848822137,0.676804469954116,2,0.7491115938939255,1,4.081625704181594,0.5148683529288328,24.72196279310957,0.7159505718975344,0.3545949648792075,0,1.8348981701479146,0.33564868205289455,0,Prostate,0,0,1,0.7937185518724501,Prostate
6,0.4678528783918536,0.8394911671917024,-1,0.4160965888327397,1,4.376515778153326,0.4555434468617249,27.30362997473376,0.6576035058251704,0.2921087303560348,0,4.343030884826912,0.36205158844286056,1,Colon,0,1,0,0.5230609913248674,Colorectal
6,0.41479294817870593,0.563214447580332,1,0.6216032046132443,0,4.255600902751388,0.5781606820914917,21.863041903792496,0.6525639547531776,0.3039506854031018,1,3.0856029555246494,0.4285763326086419,1,Prostate,1,0,0,1.072735527858848,Prostate
4,0.5784567860299707,0.8940680434431618,2,0.7164317653649117,0,3.839580733545586,0.8475080665342096,24.92544103863958,0.6100305762573498,0.2699972223678149,1,0.18398563182119568,0.23018453963549032,0,Prostate,1,1,0,1.184844033738153,Prostate
6,0.7915127674203668,0.8566632615442847,-1,0.7889551464958613,0,3.840842127227968,0.5081118569316403,25.216814080957676,0.5498740869202575,0.2639614930984346,0,1.9308482804505032,0.510758566156658,1,Colon,0,0,0,1.0334503184903294,Colorectal
2,0.7753537201040996,0.46331329178075187,-1,0.49556669215221605,1,2.6665969609786124,0.49158945055973324,20.366403826208014,0.6034413004399864,0.2639923600596174,1,1.2420074888378116,0.3505090739636606,1,Prostate,0,1,1,0.5274168818801097,Prostate
2,0.8759389396698671,0.5554182844072661,-1,0.5595089841998333,1,3.1143081726786463,0.44578290963722167,20.27131231616106,0.4662710817748607,0.39622440391589064,1,1.8858121346566268,0.10062656553377022,0,Prostate,1,0,1,0.5160377441242442,Prostate
4,0.690893973575033,0.7085433838901186,1,0.7121817502794969,1,3.8989011044100286,0.6531793407952406,20.299949006795572,0.5668896465386674,0.3444382911635142,1,2.0405487905140007,0.4736546674783436,0,Colon,0,0,0,1.1146988085270504,Colorectal
6,0.7716114650805641,0.6289775138708357,2,0.579103607108032,1,4.233834959054104,0.7807271095572375,20.70832404171556,0.7110159706022289,0.20017057922263073,1,2.897383446113591,0.4990194050436695,0,Prostate,1,0,0,0.5392047519434818,Prostate
4,0.6885037199189779,0.4726492100322689,-1,0.47793228218936007,0,2.6915561953005023,0.4821995347402057,22.413919051450865,0.6302329436707083,0.3460914267106989,0,1.6127815658612872,0.4398338531055729,0,Lung,1,1,0,0.7793406486132456,Lung
6,0.5085498209205432,0.7603255806761291,2,0.2657848568657161,1,2.7595385065359217,0.6713378147929743,29.39966329706621,0.7466226115739929,0.36047962204173517,0,1.1374654421582608,0.29950703359407205,0,Prostate,1,1,1,0.8402368986408886,Prostate
6,0.6145656440654247,0.4876726446232924,-1,0.3403874329149118,0,2.7251195541545217,0.4755433187127611,27.55079462885164,0.7382652936511944,0.24686404227007094,1,0.5780012988917795,0.21365027981133658,0,Breast,1,1,1,0.5072503922341436,Breast
4,0.5028218861848526,0.5238543395906897,1,0.39415298552602684,0,4.089118495167319,0.8957464112950443,28.851991209201504,0.5513168240359148,0.3305855030414159,0,3.2702733472742236,0.3429856097442462,1,Prostate,0,1,0,1.0666114078065472,Prostate
2,0.6585423786950577,0.8917978297423995,2,0.6894532535981059,0,3.6083672345569617,0.7998739607898946,21.17946325571869,0.5314131431355978,0.24062674206762502,0,2.181114419179443,0.35917746999166267,1,Prostate,0,0,0,1.3036741983896143,Prostate
6,0.8529475280629737,0.4658278017500574,1,0.3948009799829797,1,4.337943612229333,0.8921510366557732,26.849468041625553,0.4853285126076169,0.22551271986215823,1,3.528420563112149,0.3963786589602113,0,Breast,1,1,1,0.7359560737563146,Breast
6,0.5079843767485916,0.6571528282889645,2,0.5602218263855856,0,3.3153275785644345,0.5246931699586248,22.37182041546266,0.7369866833189045,0.39452886550143157,0,0.4581695280914878,0.43892613680197645,0,Colon,1,1,0,1.0161371812594586,Colorectal
4,0.674379106677293,0.7895649089889505,-1,0.4716644748043212,0,2.8544437699621588,0.6123223481886177,20.63586905852767,0.5200422842735087,0.21821812706293975,0,3.841475044743301,0.31679859940015154,1,Colon,1,0,1,1.2599485003356987,Colorectal
2,0.42657082964104165,0.8427183505771451,2,0.2189754343583024,1,3.8635245424584754,0.6574776116229506,24.585100670907636,0.42199295412976656,0.27781823552895785,1,0.9836304742615875,0.487380336737279,1,Colon,1,1,0,0.5373809652672344,Colorectal
4,0.8585501949438559,0.8502598112275356,2,0.3488353562978318,1,4.007698360331408,0.4575459513528271,21.410159303914234,0.7560992101233733,0.32853756261012235,0,2.9952730277480812,0.4807869569227926,1,Breast,1,1,0,1.4269898082053922,Breast
4,0.40647241064243783,0.4766750665210642,-1,0.5640192978114748,1,2.9552096889915154,0.8685591591795778,20.14436523954496,0.7783950625332683,0.304296235456401,0,3.7521361688105,0.2608716857105793,0,Prostate,0,0,1,1.173584133996196,Prostate
2,0.777119395392768,0.7063598050988401,1,0.5179859248345086,0,3.2479659055421815,0.5589635535185828,20.441703513502855,0.6860646029342032,0.2983821093921528,0,3.978538523997721,0.4540178881844651,1,Lung,1,1,1,0.8945322540706881,Lung
6,0.41613798851045053,0.7086848979366679,1,0.5546864972478283,1,3.4376171921876875,0.4516591369204091,28.1916898143027,0.4707837099758024,0.29887235846494237,0,1.4608326754929903,0.5448705023258311,0,Lung,0,0,0,1.4889468266062718,Lung
6,0.7826190481451265,0.4149950768160471,2,0.5787799600153648,1,3.929923670341645,0.7352581855361292,24.424691665640324,0.4044460930216387,0.3422517697256222,0,3.6992564777468253,0.5908259106939677,1,Colon,1,0,0,1.0515211275307572,Colorectal
4,0.706664919165257,0.586979548634499,2,0.38491873252818787,1,2.9106921903445486,0.4755929982380286,23.71065019504431,0.6362302351417232,0.3311888347187886,1,0.2523727929445579,0.24270738656732502,0,Breast,1,1,1,0.5599659719381513,Breast
6,0.6250016801148315,0.8479227819408854,2,0.6036783109186802,1,2.947720328204216,0.4271392648380023,25.429030952289523,0.4158227708227426,0.28834204888170145,0,3.5724590122642366,0.13065601666972979,0,Prostate,1,0,1,1.3997555922150267,Prostate
4,0.7090323563028722,0.6141626837168734,-1,0.7652380058006802,1,2.9662818850447987,0.5012482282035149,25.873036928808787,0.49267740377323743,0.24305149861067693,1,4.461201824463213,0.37368921587035564,0,Prostate,0,0,1,0.7301315515976285,Prostate
2,0.5614454582331005,0.8127699688714851,2,0.7596353500491682,1,4.298821521317857,0.6426244511215844,26.454521104970837,0.6470378566237565,0.3457139555261195,0,3.43454444940843,0.2637153542280548,1,Colon,1,1,0,1.2570606399363151,Colorectal
2,0.4472138703119189,0.8292380508423097,2,0.5053334955596723,0,3.4342255529556738,0.8640846285242163,24.419818332319498,0.6956124861069268,0.26641371678758874,0,3.870223743559231,0.49109224825779885,1,Colon,0,1,1,1.4030358374697371,Colorectal
4,0.47130445134300286,0.8702990393302191,2,0.2952196374481957,1,3.3597670154476873,0.5236390874337842,28.297391458092278,0.5540267301695478,0.3562349106426777,1,2.7423326710626243,0.40314291191058527,1,Prostate,0,1,1,1.1321304913638985,Prostate
6,0.7479405367154128,0.4293936595054631,-1,0.6951402012171747,1,2.9947041902595597,0.6266404981351028,22.43759588647462,0.621563656361704,0.3115672521390429,0,0.9021377315347595,0.1616020925809761,0,Lung,1,0,1,1.181623868202823,Lung
4,0.46299598365067546,0.7154855482655904,-1,0.4828649580439714,1,3.7908302239778138,0.6909621600890177,22.506832788383893,0.7218610712479703,0.31004425628573856,0,4.3753292541629145,0.20001512587464662,0,Colon,1,1,0,1.1796065826173958,Colorectal
2,0.8527371455308872,0.4403887167635482,-1,0.6278876835391198,1,3.0711874493923292,0.804617577810517,27.509106828975483,0.7485262125674308,0.31580590410078174,0,1.4862447642570056,0.308858217990885,0,Prostate,0,0,1,1.3321485936186162,Prostate
2,0.82005465248397,0.8804026931186427,1,0.33037606547753606,0,4.261559745292021,0.7144180452454554,23.775109365102434,0.41451294338163613,0.3353249004272052,1,2.3761210234474732,0.13008436862824616,0,Lung,1,0,0,0.5563850140998252,Lung
2,0.6219944025867508,0.6701636887275818,2,0.7640987840788036,1,3.5388276860673518,0.7988264476541532,23.080181810805247,0.46416061311381296,0.3122021022231606,1,1.9577638194639742,0.1756162807282727,0,Prostate,1,1,1,0.80175833454608,Prostate
4,0.597822566021085,0.8978971120602124,1,0.743003783485356,0,2.937187759291346,0.40075643131141564,21.790366276818716,0.5600713694579937,0.2516413602988071,1,2.3271792371659648,0.5598554877090551,1,Breast,0,1,0,0.9005978072147969,Breast
6,0.7807968773327543,0.6330083759596549,1,0.2537698453980066,0,4.110725260535144,0.7240306898313863,27.1910886926014,0.4880887743940991,0.26817886405257524,1,1.7759765744395315,0.42162100720867446,0,Breast,1,1,0,1.0499450698047712,Breast
2,0.8393575318946056,0.4228319396145873,-1,0.6195237920573817,0,2.514483365420222,0.8519131906367492,28.956143296100095,0.41362389442119146,0.2352803372569889,0,1.6685041043055435,0.11649554154500683,0,Prostate,1,1,0,0.7571680390063009,Prostate
